titre,prix,emplacement,type_de_vente,salon,chambre,toilette,surface,lien
a louer appart meublé à 2 mard,7 500 DH,Casablanca,NaN,1,NaN,NaN,72,https://www.avito.ma/fr/2_mars/appartements/a_louer_appart_meubl%C3%A9__%C3%A0_2_mard__55655059.htm
Appartement à vendre 78 m² à Agadir,NaN,Agadir,"Appartements, à vendre",1,NaN,NaN,78,https://www.avito.ma/fr/tilila/appartements/Appartement_%C3%A0_vendre_78_m%C2%B2_%C3%A0_Agadir_54002429.htm
Appart. Haut standing 140 m2 Bourogne Racine,3 500 000 DH,Casablanca,"Appartements, à vendre",2,4,3,140,https://www.avito.ma/fr/racine/appartements/Appart__Haut_standing_140_m2_Bourogne_Racine_55637784.htm
Appartemen location journalier à Nador wifi dispo,300 DH /Nuit,Nador,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/aarid/locations_de_vacances/Appartemen_location_journalier_%C3%A0_Nador_wifi_dispo_55623302.htm
Appartement à vendre 127 m² à Marrakech,1 600 000 DH,Marrakech,"Appartements, à vendre",1,2,2,127,https://www.avito.ma/fr/av_mohammed_vi/appartements/Appartement_%C3%A0_vendre_127_m%C2%B2_%C3%A0_Marrakech_55718853.htm
appartement à louer Marina saidia,600 DH,Saidia,NaN,1,NaN,NaN,110,https://www.avito.ma/fr/saidia/appartements/appartement_%C3%A0_louer_Marina_saidia_55037146.htm
Appartement haut standing à l'hermitage,6 700 DH,Casablanca,NaN,1,NaN,NaN,70,https://www.avito.ma/fr/hermitage/appartements/Appartement_haut_standing_%C3%A0_l_hermitage__55179819.htm
Appartement Très Chic en face du plage,300 DH /Nuit,Essaouira,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/centre_ville/locations_de_vacances/Appartement_Tr%C3%A8s_Chic_en_face_du_plage__54823994.htm
Appartement à vendre 90 m² à Bouskoura,799 000 DH,Bouskoura,"Appartements, à vendre",1,2,2,90,https://www.avito.ma/vi/48037070.htm
bien appartement à vendre houda,1 150 000 DH,Agadir,"Appartements, à vendre",1,3,2,86,https://www.avito.ma/vi/55723997.htm
